cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
69,69,0,0,0,0,96,1010.5,18.6,1.054422e+12,143,3.6
85,85,0,0,0,0,97,1010.6,18.4,1054425600000,126,3.1
93,89,46,2,0,0,98,1010.5,18.2,1054429200000,105,4.1
85,83,25,6,0,0,99,1010.3,17.5,1054432800000,101,5.9
65,54,17,6,0,0,99,1009.9,17,1054436400000,95,7.6
61,58,0,6,0,0,99,1009.9,17,1.05444e+12,92,8.3
48,44,0,6,18,12,99,1009.9,17.4,1054443600000,95,8.3
27,23,0,4,62,93,86,1009.9,20.2,1054447200000,118,6.9
9,7,0,1,104,208,73,1010,22.1,1054450800000,142,8.7
7,3,0,4,115,370,66,1010.3,23.5,1054454400000,153,11.3
17,14,0,1,141,502,62,1010.4,24.5,1.054458e+12,159,12.3
18,5,5,9,147,616,58,1010.3,25.5,1054461600000,169,11.7
35,12,3,31,153,684,54,1010.4,26.1,1054465200000,180,13.3
33,13,1,24,173,603,52,1010.2,26.2,1054468800000,176,14.4
27,20,0,10,178,617,50,1009.6,26.2,1054472400000,177,14.8
13,6,0,5,139,658,48,1009.1,26.2,1.054476e+12,176,15.5
18,9,0,9,150,463,48,1009,25.8,1054479600000,179,15.1
47,16,0,34,154,335,50,1009.3,25.1,1054483200000,166,13.4
31,18,0,13,105,191,55,1009,24.3,1054486800000,166,13.4
19,19,0,1,81,103,61,1008.9,23.4,1054490400000,180,11.2
29,23,0,8,30,25,72,1009.3,21.7,1.054494e+12,174,6.9
40,38,0,2,0,0,80,1009.7,20.5,1054497600000,159,6.2
28,27,0,0,0,0,85,1010.3,19.7,1054501200000,140,5.6
33,33,0,0,0,0,90,1010.6,18.9,1054504800000,98,5.1
0,0,0,0,0,0,92,1010.2,18.5,1054508400000,104,5.9
0,0,0,0,0,0,91,1009.8,18.2,1.054512e+12,122,5.5
1,0,0,0,0,0,91,1010.4,18,1054515600000,117,5.6
4,4,0,0,0,0,93,1010.3,17.4,1054519200000,108,4.6
67,12,64,0,0,0,95,1010,17,1054522800000,110,5.4
14,9,4,0,0,0,97,1010.1,16.5,1054526400000,110,5.4
23,21,0,0,20,12,97,1010.5,16.7,1.05453e+12,103,7.8
42,41,1,0,65,69,83,1010.6,19.2,1054533600000,111,8.1
40,39,0,0,105,198,68,1010.8,21.2,1054537200000,135,10.2
48,48,0,0,130,331,62,1010.9,22.5,1054540800000,147,10.7
32,32,0,0,137,523,55,1011.1,23.8,1054544400000,155,11.1
30,30,0,0,138,653,50,1011,25,1.054548e+12,160,11.8
12,11,0,0,142,732,47,1011.1,25.8,1054551600000,169,13.6
8,6,1,0,142,770,46,1010.9,26.3,1054555200000,166,14.8
0,0,0,0,142,744,46,1010.5,26.1,1054558800000,166,16.7
0,0,0,0,138,672,47,1010,25.8,1054562400000,168,17.7
0,0,0,0,127,582,50,1010.2,25.2,1.054566e+12,174,18.1
0,0,0,0,146,326,54,1010.4,24.3,1054569600000,184,17
0,0,0,0,100,242,59,1010.8,23.4,1054573200000,187,14.2
0,0,0,0,68,125,65,1010.7,22.5,1054576800000,176,11.2
3,3,0,0,29,25,77,1010.7,21,1054580400000,159,6.2
14,13,1,0,0,0,84,1011.3,20.2,1.054584e+12,143,5.4
22,21,0,0,0,0,88,1011.5,19.6,1054587600000,135,5.1
36,35,2,0,0,0,92,1011.6,19,1054591200000,138,4.3
48,39,12,0,0,0,95,1011.6,18.2,1054594800000,151,4.5
75,71,17,0,0,0,96,1011.1,17.6,1054598400000,135,4.6
91,87,21,0,0,0,97,1011.5,17.4,1.054602e+12,114,3.5
93,87,40,0,0,0,97,1011.1,17.2,1054605600000,104,4.5
90,77,50,0,0,0,98,1011.2,17.1,1054609200000,109,6.5
27,21,9,0,0,0,98,1011.7,17,1054612800000,117,8.9
49,42,11,0,20,12,97,1011.6,17.5,1054616400000,120,10.8
35,30,9,0,64,93,89,1012.1,19.5,1.05462e+12,127,11.3
51,49,2,0,107,198,78,1012.4,21.1,1054623600000,137,11.7
24,20,4,0,130,353,71,1012.8,22.5,1054627200000,148,11
87,86,1,0,135,524,61,1012.9,23.9,1054630800000,158,11.3
98,98,1,0,154,628,54,1013.2,25,1054634400000,166,13.4
93,92,0,0,195,655,49,1013.2,25.9,1.054638e+12,173,14.9
89,88,0,0,293,545,47,1013.3,26.2,1054641600000,174,15.9
69,69,0,0,305,490,47,1013.3,26.2,1054645200000,178,16.6
8,7,0,0,218,549,48,1013.1,26.1,1054648800000,182,17.7
7,6,0,0,134,514,51,1013.2,25.5,1054652400000,185,17
8,7,0,0,114,435,54,1013.2,25.1,1.054656e+12,181,15.8
27,18,0,16,98,274,58,1013,24.3,1054659600000,173,13.8
35,34,0,0,79,111,63,1013.2,23.4,1054663200000,170,10.6
67,65,0,16,32,20,74,1013.6,21.9,1054666800000,152,6.1
93,89,0,37,1,0,81,1014.3,21.1,1054670400000,131,6.6
90,88,0,25,0,0,84,1014.4,20.6,1.054674e+12,126,6.2
62,61,0,0,0,0,86,1014.7,20.1,1054677600000,133,6.9
30,29,0,0,0,0,88,1014.6,19.5,1054681200000,130,6.1
7,6,0,0,0,0,89,1014.2,19.1,1054684800000,108,5.7
6,6,0,0,0,0,89,1014.3,18.7,1054688400000,90,5.8
11,0,0,10,0,0,89,1014.4,18.3,1.054692e+12,83,5.8
0,0,0,0,0,0,89,1014.2,18.1,1054695600000,94,5.1
0,0,0,0,0,0,89,1014.4,17.9,1054699200000,101,5.9
5,4,0,0,19,14,86,1014.8,18.3,1054702800000,108,8.3
19,18,0,0,62,99,73,1015.2,20.9,1054706400000,121,7.6
30,29,0,0,92,238,67,1015.5,22.4,1.05471e+12,132,9.7
38,37,0,0,113,389,58,1015.4,23.9,1054713600000,138,11.2
43,43,0,0,131,535,53,1015.4,25.2,1054717200000,146,12.2
60,60,0,0,140,655,49,1015.7,26.2,1054720800000,152,13
66,66,0,0,146,734,46,1015.5,27,1054724400000,161,15.3
69,69,1,0,157,754,45,1015.7,27.4,1.054728e+12,166,16.7
83,83,0,0,162,721,45,1015.2,27.4,1054731600000,166,17.8
89,89,0,0,193,597,45,1015.4,27.1,1054735200000,165,18.3
76,75,0,0,153,539,46,1015.2,26.7,1054738800000,169,18.4
1,1,0,0,121,415,48,1015.1,25.9,1054742400000,175,17
1,0,0,0,95,286,52,1015.1,25.1,1.054746e+12,174,14.5
0,0,0,0,71,132,58,1014.9,24.2,1054749600000,171,10.9
1,0,0,0,31,27,72,1015.3,22.7,1054753200000,168,5.2
8,7,0,1,1,0,80,1015.9,21.6,1054756800000,140,6.1
49,49,0,0,0,0,86,1016.4,20.7,1054760400000,111,6.2
74,73,0,0,0,0,92,1017.1,19.5,1.054764e+12,121,4.2
93,92,0,0,0,0,94,1017.2,18.7,1054767600000,90,2.2
96,95,0,0,0,0,94,1017.4,18.3,1054771200000,56,2.6
92,91,0,0,0,0,93,1017,18.3,1054774800000,58,4.7
86,85,0,0,0,0,92,1016.9,18.4,1054778400000,65,5.2
83,82,0,0,0,0,91,1017.1,18.3,1.054782e+12,76,4.5
83,82,0,0,0,0,91,1017.1,18,1054785600000,77,4.8
84,84,0,0,20,14,90,1017.6,18.3,1054789200000,80,8.4
83,82,0,0,65,95,78,1017.6,20.7,1054792800000,87,7.9
85,84,0,0,94,237,62,1017.7,23.6,1054796400000,105,7.1
90,89,0,0,111,399,46,1017.7,25.5,1.0548e+12,131,7.7
80,80,0,0,125,547,40,1017.6,26.9,1054803600000,157,7.4
45,45,0,0,134,666,37,1017.8,27.9,1054807200000,171,9.1
47,47,0,0,150,729,36,1017.6,28.6,1054810800000,165,11.2
71,71,0,0,165,742,35,1017.3,29.1,1054814400000,167,14.4
99,99,0,1,210,645,36,1017.2,29,1.054818e+12,177,18.4
99,98,0,13,225,541,39,1017.4,28.4,1054821600000,193,19.6
99,98,0,43,236,368,42,1018,27.5,1054825200000,209,17.7
100,100,0,95,231,151,47,1018.1,26.2,1054828800000,223,13.8
100,100,0,98,146,75,51,1018.2,24.9,1054832400000,243,10.1
100,94,0,100,71,6,55,1018.2,23.6,1.054836e+12,292,6.6
98,40,0,97,21,0,60,1017.8,22.9,1054839600000,357,6.8
99,0,0,99,0,0,67,1017.9,21.9,1054843200000,12,8.5
90,0,0,90,0,0,70,1018,21.5,1054846800000,11,7.3
41,0,0,41,0,0,72,1018.2,21.3,1054850400000,360,5
34,0,0,34,0,0,79,1018,20.6,1.054854e+12,360,4.7
1,0,0,0,0,0,84,1017.6,20.1,1054857600000,300,2.9
1,1,0,0,0,0,89,1017.3,19.3,1054861200000,305,4.4
0,0,0,0,0,0,92,1017.3,18.1,1054864800000,324,4.9
0,0,0,0,0,0,94,1017.4,17.3,1054868400000,330,5
0,0,0,0,0,0,93,1017.6,16.9,1.054872e+12,360,4.3
0,0,0,0,20,14,93,1017.8,17.3,1054875600000,30,2.9
0,0,0,0,63,98,80,1017.9,20,1054879200000,59,2.1
0,0,0,0,96,231,72,1018,22.2,1054882800000,180,0.4
2,0,0,1,116,387,61,1018.3,23.7,1054886400000,214,2.6
2,1,0,2,143,499,54,1018.2,25,1.05489e+12,218,5.9
10,0,0,9,150,628,49,1018.3,26,1054893600000,191,11.7
7,0,1,5,191,655,47,1018.1,26.7,1054897200000,198,13.7
10,0,3,7,151,750,45,1017.9,27.2,1054900800000,200,13.4
5,0,2,3,160,710,44,1017.3,27.5,1054904400000,200,13.4
4,0,1,3,142,681,44,1017.2,27.5,1.054908e+12,204,12.2
8,0,0,8,131,567,44,1016.6,27.2,1054911600000,202,12.4
15,2,0,13,114,388,45,1016.8,26.7,1054915200000,198,9.1
9,3,0,6,97,269,49,1016.5,25.8,1054918800000,198,7.2
12,9,0,2,73,132,54,1016.2,24.6,1054922400000,196,7.9
15,12,0,1,32,27,68,1016.6,22.8,1.054926e+12,209,7.4
10,10,0,0,1,0,77,1017.1,21.6,1054929600000,231,7.4
9,4,0,4,0,0,82,1017.4,20.9,1054933200000,243,5.6
1,1,0,0,0,0,89,1017.5,19.9,1054936800000,241,4.5
1,0,1,0,0,0,85,1017.6,20.4,1054940400000,39,2.3
0,0,0,0,0,0,86,1016.9,20.3,1.054944e+12,63,3.2
1,0,0,0,0,0,88,1016.6,20,1054947600000,58,3.4
0,0,0,0,0,0,90,1016.5,19.8,1054951200000,41,3.3
0,0,0,0,0,0,93,1016.3,19.4,1054954800000,38,4.1
0,0,0,0,0,0,95,1016.3,19.2,1054958400000,39,4.6
0,0,0,0,20,14,97,1016.5,19.1,1.054962e+12,48,5.4
0,0,0,0,64,97,91,1016.6,20.5,1054965600000,51,4.6
0,0,0,0,93,241,67,1016.6,23.1,1054969200000,49,3.8
0,0,0,0,113,399,58,1016.7,24.8,1054972800000,84,3.3
0,0,0,0,127,546,51,1016.4,26.3,1054976400000,143,3.6
0,0,0,0,137,665,45,1016,27.5,1.05498e+12,202,7.8
8,0,0,8,142,748,41,1015.9,28.4,1054983600000,206,10
12,0,0,12,145,781,39,1015.7,28.8,1054987200000,209,11.1
8,0,0,7,142,765,39,1015,28.9,1054990800000,211,11.8
7,0,0,7,138,688,40,1014.7,28.8,1054994400000,211,11.8
16,0,0,16,133,540,42,1014.5,28.2,1.054998e+12,216,11.6
19,0,0,19,116,435,43,1014.2,27.6,1055001600000,221,11.5
20,0,0,19,99,267,47,1014.2,26.9,1055005200000,229,11
12,0,0,11,74,119,52,1014.4,25.8,1055008800000,230,8.4
7,1,0,6,31,27,63,1014.2,24.3,1055012400000,218,4.1
7,3,0,3,1,0,74,1014.5,23,1.055016e+12,191,3.7
14,13,0,0,0,0,75,1014.9,22.8,1055019600000,143,1.8
18,18,0,0,0,0,82,1015,22.2,1055023200000,247,4.7
13,13,0,0,0,0,87,1014.8,21.8,1055026800000,250,4.2
17,17,0,0,0,0,91,1014.6,21.2,1055030400000,297,1.6
20,20,0,0,0,0,95,1014.7,20.8,1.055034e+12,22,1.9
21,20,0,0,0,0,98,1014.6,19.7,1055037600000,54,3.1
19,18,0,0,0,0,98,1014.3,18.8,1055041200000,63,4.8
80,26,71,0,0,0,99,1014.3,18.4,1055044800000,62,5.3
72,21,62,0,20,15,98,1014.5,18.7,1055048400000,49,3.3
10,10,0,0,64,101,91,1015,20.9,1.055052e+12,8,2.5
7,7,0,0,95,236,59,1015.2,24.1,1055055600000,324,3.1
1,1,0,0,120,384,49,1015.5,25.6,1055059200000,297,4
0,0,0,0,127,543,43,1015.3,26.9,1055062800000,275,4.3
9,8,0,0,138,672,40,1015.5,28.1,1055066400000,222,5.4
4,4,0,0,140,751,38,1015.1,29,1.05507e+12,223,6.9
12,12,0,0,143,785,37,1014.9,29.6,1055073600000,218,8.7
14,14,0,0,135,782,36,1014.6,29.8,1055077200000,226,10.9
12,12,0,0,136,694,36,1014.6,29.8,1055080800000,230,12.3
18,17,0,0,131,585,37,1014.3,29.4,1055084400000,235,13.2
18,17,0,0,122,439,39,1014.3,28.6,1.055088e+12,241,13.5
55,54,0,0,107,251,42,1014.1,27.5,1055091600000,246,12.6
90,89,0,0,78,127,47,1014.5,26.3,1055095200000,254,10.5
96,96,0,0,39,19,53,1015.2,24.7,1055098800000,266,5.8
98,97,0,0,1,0,59,1015.6,23.7,1055102400000,266,5.4
62,60,0,1,0,0,65,1016.1,22.5,1.055106e+12,281,5.5
79,78,0,2,0,0,76,1016.1,21.1,1055109600000,270,3.6
