cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
59,56,0,12,0,0,80,1007.5,19.6,1.054422e+12,122,9.4
23,21,0,1,0,0,82,1007.4,18.9,1054425600000,131,7.7
21,18,0,4,0,0,84,1007,18.3,1054429200000,139,7.1
36,33,0,4,0,0,86,1006.8,17.7,1054432800000,145,7.5
50,31,0,31,0,0,89,1006.8,16.9,1054436400000,139,7.1
55,32,0,41,0,0,91,1006.5,16.2,1.05444e+12,127,7.2
14,8,0,6,19,15,92,1006.2,16.4,1054443600000,118,7.7
16,13,0,3,64,81,82,1006.2,19,1054447200000,114,7.9
14,13,0,2,83,222,76,1006.5,21.4,1054450800000,123,8.6
20,11,0,11,102,356,68,1006.4,23.2,1054454400000,131,10
18,14,0,5,135,467,60,1006.2,24.6,1.054458e+12,131,11.5
34,12,0,25,184,487,56,1006,25.4,1054461600000,107,8.7
20,12,0,7,150,644,52,1005.7,26.3,1054465200000,107,9.8
15,11,0,4,144,719,48,1005.1,27,1054468800000,111,10
11,10,0,0,137,718,46,1004.1,27.6,1054472400000,115,11.1
16,15,0,0,125,681,45,1003.3,27.9,1.054476e+12,121,12.6
25,24,0,0,116,600,44,1002.9,28.1,1054479600000,129,12.5
41,40,0,0,133,437,43,1002.5,28.1,1054483200000,138,10.7
74,73,1,14,112,283,44,1002.6,27.7,1054486800000,176,5.1
90,89,0,14,95,127,52,1002.7,26.9,1054490400000,306,3.1
96,94,0,15,47,26,64,1002.5,25,1.054494e+12,8,5.4
98,97,0,11,10,1,71,1002.7,23,1054497600000,18,7.2
96,96,0,13,0,0,79,1002.9,21.3,1054501200000,41,6.6
95,93,3,26,0,0,82,1002.7,20.1,1054504800000,135,3.6
98,97,12,30,0,0,83,1003,19.7,1054508400000,221,7.1
100,100,5,8,0,0,85,1002.7,19.4,1.054512e+12,246,10.6
100,100,0,8,0,0,92,1002.6,18.6,1054515600000,247,9
100,100,3,18,0,0,95,1002.4,18.1,1054519200000,235,8.8
100,100,19,34,0,0,96,1002.7,17.8,1054522800000,231,10.2
100,100,44,17,0,0,96,1003,17.6,1054526400000,231,11.5
97,93,66,17,23,1,94,1003.5,17.8,1.05453e+12,238,11
73,46,45,32,68,25,90,1004,18.4,1054533600000,243,12.1
66,20,29,57,86,117,86,1004.5,18.7,1054537200000,246,14.2
86,17,18,85,128,163,79,1005.2,19.1,1054540800000,244,14.8
96,22,6,95,241,108,71,1005.7,19.4,1054544400000,239,15.2
100,12,0,99,232,78,66,1006.6,19.5,1.054548e+12,247,9.4
94,5,0,94,324,293,62,1006.9,20.4,1054551600000,228,10.7
74,5,9,67,206,466,61,1007.3,21.1,1054555200000,223,14.3
53,5,47,9,214,559,57,1007.2,22.2,1054558800000,224,15.5
80,8,72,25,276,192,58,1006.8,22.2,1054562400000,225,15.8
44,5,32,35,221,166,58,1006.9,22.2,1.054566e+12,228,16.1
36,0,29,30,220,194,55,1006.8,22.5,1054569600000,229,14.8
42,2,24,33,135,122,55,1006.6,22.4,1054573200000,227,12.7
43,15,20,27,87,116,57,1006.6,22,1054576800000,222,9.7
28,7,14,21,38,28,65,1006.9,20.5,1054580400000,200,5.4
40,18,14,20,7,3,70,1007.1,19.5,1.054584e+12,177,6.1
63,47,17,30,0,0,76,1007.5,18.2,1054587600000,180,7.6
54,38,10,22,0,0,80,1007.7,17.4,1054591200000,193,7.8
61,49,4,23,0,0,85,1007.8,16.5,1054594800000,193,6.3
77,75,0,7,0,0,89,1007.3,15.7,1054598400000,190,6.2
99,99,0,12,0,0,91,1007.1,15,1.054602e+12,172,5.1
100,99,12,32,0,0,93,1006.8,14.8,1054605600000,150,5.8
100,100,15,46,0,0,92,1006.5,14.8,1054609200000,139,6.6
100,100,14,71,0,0,90,1006.4,15.3,1054612800000,137,7.4
100,100,13,98,23,0,88,1006.2,15.8,1054616400000,128,8.2
100,100,34,100,51,0,85,1006.3,16.8,1.05462e+12,123,9.9
100,100,62,100,71,0,89,1006.5,17.3,1054623600000,126,11.1
100,98,47,96,109,8,91,1006.5,17.7,1054627200000,123,10.7
100,94,25,85,142,0,90,1006.3,18.2,1054630800000,127,11.3
95,89,23,58,169,2,89,1006,18.6,1054634400000,124,10.4
63,35,40,14,214,110,86,1005.9,19.4,1.054638e+12,133,12.7
70,58,39,3,357,152,79,1005.5,21.3,1054641600000,139,12
72,52,34,28,322,159,76,1005.3,22.5,1054645200000,136,12
98,92,34,60,307,161,71,1005.2,23.4,1054648800000,172,13.1
91,87,34,9,152,28,76,1005.5,22.4,1054652400000,193,10
96,95,8,7,147,1,89,1005.4,20.1,1.054656e+12,180,9.7
97,96,19,10,147,5,90,1005.5,20,1054659600000,182,9.4
91,91,7,5,102,11,90,1005.5,20.3,1054663200000,180,8.3
72,70,0,4,59,22,88,1005.7,21,1054666800000,180,6.8
28,18,3,12,11,2,92,1006.4,19.8,1054670400000,172,8
16,3,3,12,0,0,94,1007.1,19,1.054674e+12,173,9.4
12,3,8,1,0,0,95,1006.9,18.5,1054677600000,185,13
49,45,2,4,0,0,96,1007.1,17.9,1054681200000,198,8
