cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
92,92,0,0,0,0,76,1001.1,11.4,1672527600000,186,19.9
93,93,0,4,0,0,75,1000.9,11.7,1672531200000,195,22.4
0,0,0,0,0,0,74,1000.8,11.9,1672534800000,191,22.4
0,0,0,0,0,0,75,1001.4,11.7,1672538400000,197,23.3
0,0,0,0,0,0,76,1001.3,11.5,1.672542e+12,199,23.2
28,28,0,0,0,0,80,1001.3,10.6,1672545600000,200,22.5
82,82,0,0,0,0,81,1001.3,10.1,1672549200000,199,20.2
91,91,0,0,0,0,78,1001.7,10.1,1672552800000,201,19.3
92,91,0,13,0,0,77,1002.3,10.2,1672556400000,200,19.6
68,53,0,32,6,4,77,1002.5,10.6,1.67256e+12,201,21.2
99,98,0,26,42,23,75,1003,11.5,1672563600000,199,19.8
97,96,0,24,67,92,75,1003.6,12.5,1672567200000,197,16.2
99,99,0,37,83,133,72,1003.5,13.8,1672570800000,190,12.8
75,100,0,0,97,115,67,1002.5,15.4,1672574400000,191,11.7
98,98,0,10,101,123,69,1001.7,16.1,1.672578e+12,192,15.1
96,96,0,6,80,84,60,1001.3,15.5,1672581600000,205,14.3
99,99,0,14,45,48,64,1001.3,14.3,1672585200000,204,12.6
97,97,0,1,9,4,67,1001,13.2,1672588800000,195,12.7
89,89,0,20,0,0,73,1000.8,12.1,1672592400000,201,13.9
96,96,0,38,0,0,73,1000.6,11.7,1.672596e+12,203,18.7
75,74,0,3,0,0,70,1000.5,11.6,1672599600000,196,21.3
87,87,0,1,0,0,69,1000.6,11.7,1672603200000,198,23.9
100,100,0,20,0,0,67,1000.4,11.7,1672606800000,197,23.7
97,97,0,1,0,0,67,1000.6,11.6,1672610400000,199,23.2
59,38,0,33,0,0,67,1000.5,11.3,1.672614e+12,196,22.9
61,91,0,68,0,0,64,999.7,12.2,1672617600000,197,20.4
100,100,0,21,0,0,63,999.4,12.1,1672621200000,195,24.3
100,100,0,92,0,0,69,999.4,11.5,1672624800000,191,25.7
100,76,0,100,0,0,70,998.9,11.4,1672628400000,191,21.6
100,92,0,99,0,0,67,999,11.6,1.672632e+12,195,21.2
100,88,0,100,0,0,64,999.3,11.6,1672635600000,196,16.5
100,87,0,97,0,0,66,1000,11.2,1672639200000,189,15.3
100,100,0,100,0,0,68,1000.4,10.6,1672642800000,189,11.3
100,83,0,100,2,0,68,1001,10.5,1672646400000,188,10.5
93,67,0,80,24,0,69,1001.6,10.7,1.67265e+12,176,11.2
63,53,0,23,69,30,68,1002.1,11.5,1672653600000,172,13.4
100,71,3,99,66,157,68,1002.5,13.5,1672657200000,182,13.3
100,100,0,100,82,45,65,1002.2,13,1672660800000,211,9.2
100,100,2,100,69,4,69,1002.3,13.2,1672664400000,201,12
100,100,100,100,33,0,70,1002.9,12.6,1.672668e+12,207,15.3
100,38,66,99,13,0,74,1003.8,12.7,1672671600000,211,16
100,100,100,100,3,0,80,1004.8,12.1,1672675200000,231,13.8
100,100,44,99,0,0,87,1006,11.3,1672678800000,267,13
100,100,9,100,0,0,88,1007,10.2,1672682400000,282,10.7
100,100,11,100,0,0,88,1007.7,9.5,1.672686e+12,255,7.1
100,100,11,100,0,0,87,1008.5,9.2,1672689600000,250,7.3
100,99,0,100,0,0,88,1008.8,8.7,1672693200000,267,6.8
100,97,2,91,0,0,88,1009.4,8.4,1672696800000,261,6.6
100,100,1,100,0,0,92,1009.8,7.4,1672700400000,257,6.6
100,100,2,97,0,0,91,1010.4,7,1.672704e+12,203,5.5
100,100,1,94,0,0,95,1010.3,6.3,1672707600000,164,6.7
100,100,0,50,0,0,97,1010.5,5.6,1672711200000,180,7.9
100,100,1,3,0,0,97,1010.5,4.6,1672714800000,203,9
100,100,0,37,0,0,92,1010.6,6.7,1672718400000,255,4.1
100,100,3,37,0,0,93,1011,5.8,1.672722e+12,277,2.9
100,100,0,98,0,0,91,1011,6.3,1672725600000,315,1
100,100,4,40,0,0,92,1011.3,6.2,1672729200000,167,3.3
100,100,1,22,8,0,96,1011.4,4.8,1672732800000,193,4.8
96,96,0,4,55,2,95,1012,5.8,1672736400000,228,5.4
39,37,3,4,82,84,92,1012.1,7.1,1.67274e+12,214,5.2
8,0,8,0,90,141,90,1012.1,8.4,1672743600000,189,6.6
30,0,15,15,60,230,82,1012.5,9.7,1672747200000,201,8.9
22,0,13,18,76,136,79,1012.2,10.1,1672750800000,192,8.5
18,0,18,0,69,96,80,1011.7,9.9,1672754400000,171,11.3
37,0,37,0,43,51,85,1011.7,8.8,1.672758e+12,187,9.4
28,0,28,0,8,6,91,1012,7.2,1672761600000,211,9.2
23,0,23,1,0,0,92,1012,6.9,1672765200000,216,8.5
47,0,47,0,0,0,95,1012.1,5.6,1672768800000,214,6.5
98,98,20,0,0,0,98,1012.3,4.4,1672772400000,225,6.6
100,100,3,0,0,0,98,1012.2,3.8,1.672776e+12,225,6.6
99,99,0,0,0,0,98,1011.9,3.8,1672779600000,192,7
95,95,0,12,0,0,98,1012,4.2,1672783200000,192,10.3
26,0,0,26,0,0,97,1011.7,4.2,1672786800000,193,12.9
63,26,0,98,0,0,96,1011.8,4.1,1672790400000,199,16.7
61,58,0,8,0,0,95,1011.4,3.9,1.672794e+12,202,17.4
