cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,diffuse_radiation,direct_radiation,relative_humidity_2m,surface_pressure,temperature_2m,time,wind_direction_10m,wind_speed_10m
35,5,32,1,0,0,76,1001.1,7.5,1704063600000,232,26.6
35,10,27,0,0,0,76,1001.5,7.3,1704067200000,231,26.9
51,39,2,19,0,0,72,1001.9,7.3,1704070800000,235,25.6
24,2,19,8,0,0,73,1002.4,7.1,1704074400000,233,25.7
40,29,13,4,0,0,74,1002.8,6.9,1.704078e+12,233,25.2
47,39,12,4,0,0,75,1003.1,6.8,1704081600000,234,24.8
36,27,8,6,0,0,76,1003.4,6.6,1704085200000,236,23.6
100,100,4,2,0,0,78,1003.9,6.4,1704088800000,232,22.3
96,96,0,8,0,0,80,1004.6,6.2,1704092400000,230,20.7
99,99,0,42,1,0,83,1005.4,5.9,1.704096e+12,227,19.4
100,100,0,72,34,13,82,1006,6.6,1704099600000,223,19.4
100,100,0,91,85,26,82,1006.4,7.5,1704103200000,213,16.4
98,98,0,12,110,81,79,1006.3,8.5,1704106800000,212,18.8
64,47,0,31,109,134,77,1005.9,9.2,1704110400000,212,19.1
73,7,37,62,132,27,77,1005.8,9.6,1.704114e+12,211,19.4
100,100,26,51,87,72,74,1005.6,9.9,1704117600000,222,19.9
100,100,4,18,59,34,75,1005.1,9.6,1704121200000,218,17.7
100,100,3,28,22,4,78,1005,8.7,1704124800000,211,17.6
100,100,2,99,0,0,81,1004.8,8.3,1704128400000,201,19.7
100,100,28,96,0,0,81,1004.4,8.6,1.704132e+12,196,22.5
100,100,48,100,0,0,83,1003.7,8.7,1704135600000,193,24.8
100,100,58,100,0,0,88,1002.4,8.7,1704139200000,189,26.6
100,100,100,100,0,0,91,1000.8,8.9,1704142800000,192,30.5
100,100,100,100,0,0,91,999.7,9.5,1704146400000,203,34.4
100,100,100,100,0,0,91,998.7,9.9,1.70415e+12,209,34.2
100,100,100,100,0,0,90,997.7,10.4,1704153600000,215,33.9
100,100,100,100,0,0,89,996.7,11.1,1704157200000,219,36.4
100,100,100,100,0,0,89,996.2,11.1,1704160800000,219,34.8
100,100,100,100,0,0,89,996,11.2,1704164400000,222,36.7
100,100,100,99,0,0,89,995.7,11,1.704168e+12,220,37.3
100,100,80,100,0,0,89,995.3,10.9,1704171600000,220,35.5
100,100,99,100,0,0,88,994.9,11,1704175200000,215,35.7
100,100,100,100,0,0,88,994.7,10.9,1704178800000,210,33.7
100,100,100,100,0,0,91,994.4,10.9,1704182400000,209,33.8
100,100,90,100,8,0,90,993.9,11.3,1.704186e+12,213,37.4
100,100,99,100,14,0,92,993.7,11.2,1704189600000,210,32.9
100,100,100,100,36,0,91,992.9,11.6,1704193200000,215,32.4
